id	neighbourhood
6550702	Chelsea
11924652	Upper West Side
6312817	Crown Heights
13167661	Harlem
914594	East Harlem
7074961	Clinton Hill
9303177	Morningside Heights
2094213	Noho
4453484	Williamsburg
9172095	Financial District
9696357	Upper East Side
14546025	
7205992	Greenpoint
8647773	Park Slope
4977756	Crown Heights
13366355	Midtown East
1307723	Upper West Side
12186697	Greenpoint
6550596	Harlem
14152775	
10613823	
11839668	Flatiron District
9958456	
13434377	Bedford-Stuyvesant
9696307	Upper West Side
13497388	Times Square/Theatre District
12710992	Williamsburg
12710958	Williamsburg
9958442	Kips Bay
9040931	Fort Greene
14590476	Chelsea
14283796	Mott Haven
4630703	East Village
15201305	Upper East Side
7205903	Bedford-Stuyvesant
13497362	Fort Greene
14021649	Washington Heights
12385794	Financial District
6149507	Williamsburg
11793417	Crotona
1045511	West Village
783307	Hell's Kitchen
13826698	Financial District
9434105	East Harlem
6291454	Williamsburg
8248943	Fort Greene
7733241	Williamsburg
4849641	Hamilton Heights
7733236	Sunnyside
2752482	Park Slope
1572815	East Village
1878692	Greenwich Village
6553559	
12713950	Morningside Heights
11010008	Astoria
4718554	Hell's Kitchen
13822434	Hamilton Heights
11796425	East Harlem
14024651	Crown Heights
11141064	Windsor Terrace
9043905	Greenwich Village
13238211	West Village
262017	Sunnyside
13391177	Hell's Kitchen
8257450	East Harlem
13238184	
9437085	Washington Heights
4325284	Upper East Side
14505283	
8829421	Lower East Side
393094	Financial District
4325244	East Village
6880184	Clinton Hill
14024576	Upper East Side
1703798	Upper East Side
4849511	Hell's Kitchen
8388457	Long Island City
2096968	Upper East Side
5767004	East Harlem
1026702	Park Slope
6422360	Chelsea
3604450	Greenwich Village
13369166	Greenwich Village
4653025	Upper East Side
8126282	West Village
1965881	Astoria
9284233	Williamsburg
10354471	Prospect Heights
10136199	Upper West Side
9284230	Times Square/Theatre District
7208745	Fresh Meadows
7601956	Hell's Kitchen
8781592	Chelsea
5373703	
15204110	
4849429	
677162	Morningside Heights
4818422	
261869	Lower East Side
15204104	Bushwick
7995140	Williamsburg
13631232	East Harlem
4718314	Bedford-Stuyvesant
13631221	
13281916	Williamsburg
4849378	Hamilton Heights
8519400	
4325329	Upper West Side
9464835	Upper West Side
14941925	
4194010	Inwood
14149765	Greenwich Village
11009761	Bushwick
3800789	Financial District
1636685	Park Slope
11534035	
13106894	Bushwick
87279	East Harlem
6291144	Williamsburg
14789240	Hell's Kitchen
1965766	Upper East Side
7339716	West Village
8257211	
13762234	Upper East Side
8388278	Williamsburg
15204019	Crown Heights
3538609	Harlem
6553257	West Brighton
8825458	
4456094	Prospect Heights
1441443	Harlem
14417576	
12320398	Upper East Side
13893264	Lefferts Garden
8126091	Williamsburg
1048190	Clinton Hill
9690915	Williamsburg
11796068	
4849266	Sheepshead Bay
2096737	West Village
15072878	Clinton Hill
14548579	Bushwick
4718152	
8781396	Bedford-Stuyvesant
2489920	Midwood
13237828	
10747457	Midtown East
785978	East Village
4194302	Crown Heights
4324913	Crown Heights
261674	Chelsea
917037	East Village
2096641	Soho
4587037	Upper East Side
3801007	Bedford-Stuyvesant
785953	Park Slope
2883054	Crown Heights
1179159	Harlem
523795	Lower East Side
4849173	Midtown East
9043885	Bushwick
13368831	Upper East Side
3800547	Canarsie
1179080	Times Square/Theatre District
7600297	Williamsburg
129088	Downtown Brooklyn
12712076	
1702032	Greenpoint
4454538	Upper West Side
1177725	Crown Heights
12186615	Lower East Side
12055521	
12055540	
14545907	
7205861	Bedford-Stuyvesant
9827309	Chelsea
12055520	
4322258	Crown Heights
14021577	
14808007	East Village
14024180	
6026166	East Village
914355	Upper West Side
2618288	
9040796	Kips Bay
12953757	Bushwick
1921859	
14807957	
3404668	Brownsville
9040792	Flatbush
11531154	Chelsea
9302921	Harlem
7579799	Woodhaven
6334614	Clinton Hill
7598986	
15070088	Williamsburg
2093956	Carroll Gardens
6812539	West Village
914245	Chinatown
10089333	Upper East Side
9827188	Williamsburg
8516438	East Village
6596747	
14198928	Williamsburg
6288240	Fort Greene
13591006	Williamsburg
2880336	Ridgewood
14807890	Upper West Side
11006779	Lower East Side
258865	Washington Heights
12186431	Financial District
521018	Clinton Hill
9958192	Forest Hills
6157102	Rego Park
11359026	Hell's Kitchen
4977449	Crown Heights
7729959	Williamsburg
12972320	Upper West Side
6926366	Morningside Heights
1044731	Flatbush
15069454	Upper West Side
12972783	Ridgewood
12973288	Ridgewood
12972292	Ridgewood
14414083	
2093304	Fort Greene
15069439	
14807279	Clinton Hill
3272918	Williamsburg
782554	West Village
7598279	
9171140	Williamsburg
3797183	Boerum Hill
9433268	Inwood
9826494	Bedford-Stuyvesant
10088636	Hamilton Heights
10088612	Hamilton Heights
13889712	Noho
14832329	
11006134	Chelsea
11098587	Bushwick
4714674	Williamsburg
12972200	Astoria
6025389	Washington Heights
